INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,PRES,TEMP
1,T,231128,224051,48.153404N,17.059633E,135,45.9,297,984.5,25 
2,T,231128,224055,48.153561N,17.058941E,136,48.7,289,984.3,25 
3,T,231128,224059,48.153702N,17.058245E,137,46.2,289,984.2,25 
4,T,231128,224104,48.153858N,17.057484E,139,39.0,286,983.9,25 
5,T,231128,224114,48.153793N,17.057171E,143,21.5,106,983.8,26 
6,T,231128,224119,48.153606N,17.057837E,144,41.5,109,983.9,26 
7,T,231128,224123,48.153427N,17.058523E,143,47.4,107,984.2,26 
8,T,231128,224127,48.153271N,17.059210E,142,47.3,107,984.4,26 
9,T,231128,224131,48.153118N,17.059881E,141,43.3,109,984.7,26 
10,T,231128,224136,48.152824N,17.060583E,140,42.2,133,985.1,26 
11,T,231128,224140,48.152397N,17.061016E,140,48.8,151,985.2,26 
12,T,231128,224144,48.151917N,17.061323E,139,48.7,156,985.3,26 
13,T,231128,224148,48.151447N,17.061638E,139,46.1,156,985.5,26 
14,T,231128,224152,48.151001N,17.061932E,140,47.2,155,985.6,26 
15,T,231128,224156,48.150574N,17.062210E,140,42.6,156,985.7,26 
16,T,231128,224200,48.150139N,17.062422E,140,42.3,161,985.6,26 
17,T,231128,224205,48.149620N,17.062731E,140,45.1,155,985.8,26 
18,T,231128,224209,48.149220N,17.063065E,140,45.5,149,985.9,26 
19,T,231128,224213,48.148808N,17.063396E,141,46.2,147,985.8,26 
20,T,231128,224217,48.148476N,17.063854E,141,46.0,130,985.9,26 
21,T,231128,224221,48.148232N,17.064451E,141,50.7,113,985.8,26 
22,T,231128,224225,48.148090N,17.065241E,138,54.5,98,985.8,26 
23,T,231128,224229,48.148071N,17.066069E,136,53.4,91,985.7,26 
24,T,231128,224233,48.148075N,17.066883E,136,53.1,91,985.5,26 
25,T,231128,224237,48.148071N,17.067696E,136,52.1,92,985.4,26 
26,T,231128,224241,48.148102N,17.068468E,136,49.9,87,985.2,26 
27,T,231128,224245,48.148129N,17.069246E,137,50.9,87,985.0,26 
28,T,231128,224249,48.148148N,17.069986E,136,50.8,90,985.1,26 
29,T,231128,224253,48.148121N,17.070757E,136,53.1,94,985.0,26 
30,T,231128,224257,48.148041N,17.071585E,138,54.3,99,984.9,26 
31,T,231128,224301,48.147968N,17.072435E,139,55.8,95,984.7,26 
32,T,231128,224305,48.147945N,17.073309E,140,56.7,91,984.8,26 
33,T,231128,224309,48.147881N,17.074100E,140,52.1,98,985.0,26 
34,T,231128,224313,48.147648N,17.074808E,140,55.1,121,985.1,26 
35,T,231128,224317,48.147186N,17.075403E,141,61.8,146,985.1,26 
36,T,231128,224320,48.146729N,17.075628E,142,62.6,167,984.7,26 
37,T,231128,224323,48.146217N,17.075697E,144,69.2,178,984.4,26 
38,T,231128,224326,48.145653N,17.075670E,146,75.7,180,984.0,26 
39,T,231128,224329,48.145073N,17.075640E,147,78.0,182,983.9,26 
40,T,231128,224332,48.144470N,17.075563E,147,81.8,186,983.8,26 
41,T,231128,224335,48.143837N,17.075453E,149,85.9,186,983.9,26 
42,T,231128,224338,48.143185N,17.075357E,150,88.9,185,983.9,26 
43,T,231128,224340,48.142738N,17.075275E,150,89.1,187,983.8,26 
44,T,231128,224342,48.142288N,17.075199E,150,91.2,184,983.9,26 
45,T,231128,224344,48.141808N,17.075140E,150,99.0,185,983.6,26 
46,T,231128,224346,48.141293N,17.075052E,151,104.5,186,983.5,26 
47,T,231128,224348,48.140747N,17.074957E,151,111.9,186,983.5,26 
48,T,231128,224350,48.140152N,17.074850E,151,115.2,186,983.4,26 
49,T,231128,224352,48.139572N,17.074751E,149,113.0,186,983.6,26 
50,T,231128,224354,48.139008N,17.074656E,147,111.1,186,983.6,26 
51,T,231128,224356,48.138454N,17.074558E,145,109.4,186,983.9,26 
52,T,231128,224358,48.137913N,17.074459E,144,109.0,186,984.1,26 
53,T,231128,224400,48.137375N,17.074387E,142,106.6,183,984.3,26 
54,T,231128,224402,48.136848N,17.074343E,140,105.2,183,984.4,26 
55,T,231128,224404,48.136333N,17.074303E,139,102.4,182,984.8,26 
56,T,231128,224406,48.135834N,17.074274E,138,99.7,182,984.9,26 
57,T,231128,224408,48.135342N,17.074249E,137,98.5,181,985.2,26 
58,T,231128,224410,48.134853N,17.074230E,136,98.2,181,985.2,26 
59,T,231128,224412,48.134369N,17.074217E,135,97.5,181,985.6,26 
60,T,231128,224414,48.133884N,17.074209E,135,96.0,179,985.8,26 
61,T,231128,224416,48.133411N,17.074217E,135,93.8,178,985.8,26 
62,T,231128,224418,48.132954N,17.074234E,135,92.5,179,985.8,26 
63,T,231128,224420,48.132488N,17.074236E,134,93.5,180,986.0,26 
64,T,231128,224422,48.132027N,17.074228E,135,93.4,180,986.1,26 
65,T,231128,224424,48.131569N,17.074226E,135,93.6,179,986.2,26 
66,T,231128,224426,48.131111N,17.074230E,137,93.3,180,985.9,26 
67,T,231128,224428,48.130650N,17.074234E,138,93.0,179,985.7,26 
68,T,231128,224430,48.130184N,17.074232E,139,94.2,179,985.7,26 
69,T,231128,224432,48.129715N,17.074251E,140,94.4,177,985.6,26 
70,T,231128,224434,48.129253N,17.074316E,141,94.5,171,985.5,26 
71,T,231128,224436,48.128803N,17.074486E,143,94.4,162,985.3,26 
72,T,231128,224438,48.128380N,17.074745E,143,91.3,155,985.2,26 
73,T,231128,224440,48.127983N,17.075096E,144,90.3,145,985.0,26 
74,T,231128,224442,48.127617N,17.075518E,144,92.9,138,984.9,26 
75,T,231128,224444,48.127296N,17.076031E,144,93.6,129,984.8,26 
76,T,231128,224446,48.127033N,17.076624E,143,94.5,119,984.7,26 
77,T,231128,224448,48.126827N,17.077286E,142,98.5,110,984.7,26 
78,T,231128,224450,48.126701N,17.077984E,140,96.6,102,984.9,26 
79,T,231128,224452,48.126629N,17.078680E,139,92.4,96,984.9,26 
80,T,231128,224454,48.126614N,17.079372E,137,91.9,90,985.1,26 
81,T,231128,224456,48.126713N,17.080053E,136,91.1,75,985.3,26 
82,T,231128,224458,48.126877N,17.080734E,134,95.2,67,985.4,26 
83,T,231128,224500,48.127125N,17.081379E,132,94.4,60,985.4,26 
84,T,231128,224502,48.127388N,17.081999E,131,96.4,57,985.6,26 
85,T,231128,224504,48.127670N,17.082617E,130,96.9,56,985.8,26 
86,T,231128,224506,48.127956N,17.083225E,129,97.1,56,985.8,26 
87,T,231128,224508,48.128239N,17.083839E,129,97.6,56,985.8,26 
88,T,231128,224510,48.128517N,17.084455E,130,96.8,57,985.7,26 
89,T,231128,224512,48.128784N,17.085064E,129,95.7,57,985.7,26 
90,T,231128,224514,48.129059N,17.085678E,129,96.6,56,985.8,26 
91,T,231128,224516,48.129349N,17.086315E,131,97.1,58,985.8,26 
92,T,231128,224518,48.129612N,17.086948E,132,97.1,58,985.8,26 
93,T,231128,224520,48.129868N,17.087576E,133,97.7,58,985.8,26 
94,T,231128,224522,48.130123N,17.088198E,133,96.9,58,985.8,26 
95,T,231128,224524,48.130383N,17.088825E,135,97.1,57,985.7,26 
96,T,231128,224526,48.130650N,17.089462E,136,97.4,58,985.8,26 
97,T,231128,224528,48.130894N,17.090090E,137,96.8,60,985.8,26 
98,T,231128,224530,48.131115N,17.090734E,138,97.6,63,985.8,26 
99,T,231128,224532,48.131321N,17.091389E,138,97.6,66,985.8,26 
100,T,231128,224534,48.131500N,17.092073E,139,99.6,69,985.8,26 
101,T,231128,224536,48.131653N,17.092764E,139,99.8,72,985.9,26 
102,T,231128,224538,48.131775N,17.093475E,139,99.3,76,985.9,26 
103,T,231128,224540,48.131855N,17.094170E,140,97.8,79,985.8,26 
104,T,231128,224542,48.131927N,17.094891E,141,97.3,80,986.0,26 
105,T,231128,224544,48.131973N,17.095621E,142,97.4,85,986.0,26 
106,T,231128,224546,48.131992N,17.096375E,142,100.9,88,985.9,26 
107,T,231128,224548,48.131989N,17.097134E,143,101.4,91,986.1,26 
108,T,231128,224550,48.131969N,17.097897E,144,101.8,92,986.2,26 
109,T,231128,224552,48.131943N,17.098642E,145,99.3,92,986.2,26 
110,T,231128,224554,48.131916N,17.099384E,146,98.5,93,986.1,26 
111,T,231128,224556,48.131889N,17.100121E,147,98.3,93,986.2,26 
112,T,231128,224558,48.131855N,17.100872E,147,100.2,93,986.1,26 
113,T,231128,224600,48.131821N,17.101625E,148,101.8,94,986.1,26 
114,T,231128,224602,48.131767N,17.102415E,149,107.3,95,986.0,26 
115,T,231128,224604,48.131714N,17.103252E,149,112.7,95,985.9,26 
116,T,231128,224606,48.131672N,17.104116E,150,113.7,93,985.9,26 
117,T,231128,224608,48.131634N,17.104961E,150,113.6,93,986.0,26 
118,T,231128,224610,48.131596N,17.105824E,150,115.9,93,985.9,26 
119,T,231128,224612,48.131569N,17.106707E,151,119.3,91,985.8,26 
120,T,231128,224614,48.131542N,17.107609E,151,122.3,91,985.6,26 
121,T,231128,224616,48.131527N,17.108505E,151,119.5,91,985.9,26 
122,T,231128,224618,48.131496N,17.109385E,152,117.4,92,985.5,26 
123,T,231128,224620,48.131451N,17.110258E,152,116.7,93,986.1,26 
124,T,231128,224622,48.131405N,17.111124E,152,114.9,93,985.9,26 
125,T,231128,224624,48.131351N,17.111971E,153,113.2,94,985.9,26 
126,T,231128,224626,48.131310N,17.112804E,153,111.4,94,985.8,26 
127,T,231128,224628,48.131268N,17.113638E,154,110.9,93,985.8,26 
128,T,231128,224630,48.131233N,17.114475E,154,111.7,93,985.7,26 
129,T,231128,224632,48.131195N,17.115305E,155,110.7,93,985.8,26 
130,T,231128,224634,48.131149N,17.116125E,156,112.5,93,985.8,26 
131,T,231128,224636,48.131123N,17.116976E,156,113.6,91,985.7,26 
132,T,231128,224638,48.131096N,17.117796E,157,110.6,93,985.5,26 
133,T,231128,224640,48.131077N,17.118629E,158,109.9,92,985.5,26 
134,T,231128,224642,48.131062N,17.119465E,158,110.0,93,985.7,26 
135,T,231128,224644,48.131031N,17.120293E,159,108.9,93,985.6,26 
136,T,231128,224646,48.131004N,17.121105E,159,108.6,93,985.5,26 
137,T,231128,224648,48.130978N,17.121906E,159,106.5,93,985.7,26 
138,T,231128,224650,48.130951N,17.122696E,159,105.0,93,985.7,26 
139,T,231128,224652,48.130928N,17.123489E,159,105.2,93,985.6,26 
140,T,231128,224654,48.130901N,17.124290E,160,105.0,93,985.6,26 
141,T,231128,224656,48.130863N,17.125069E,160,103.8,93,985.3,26 
142,T,231128,224658,48.130840N,17.125805E,160,100.8,93,985.3,26 
143,T,231128,224700,48.130836N,17.126558E,160,99.7,92,985.0,26 
144,T,231128,224702,48.130833N,17.127312E,160,98.9,91,984.7,26 
145,T,231128,224704,48.130821N,17.128044E,159,97.3,90,984.6,26 
146,T,231128,224706,48.130825N,17.128756E,158,94.0,88,984.3,26 
147,T,231128,224708,48.130840N,17.129456E,158,93.3,87,984.2,26 
148,T,231128,224710,48.130863N,17.130152E,158,93.6,86,984.1,26 
149,T,231128,224712,48.130901N,17.130854E,157,93.9,84,984.1,26 
150,T,231128,224714,48.130951N,17.131559E,158,94.2,82,983.8,26 
151,T,231128,224716,48.131012N,17.132265E,158,94.5,81,983.7,26 
152,T,231128,224718,48.131096N,17.132996E,159,97.8,78,983.7,26 
153,T,231128,224720,48.131210N,17.133717E,161,97.8,74,983.5,26 
154,T,231128,224722,48.131367N,17.134403E,161,95.1,69,983.4,26 
155,T,231128,224724,48.131565N,17.135065E,161,95.3,64,983.3,26 
156,T,231128,224726,48.131798N,17.135691E,161,93.8,58,983.2,26 
157,T,231128,224728,48.132065N,17.136271E,160,93.8,54,983.1,26 
158,T,231128,224730,48.132343N,17.136814E,160,92.9,52,983.2,26 
159,T,231128,224733,48.132759N,17.137501E,159,79.6,45,983.2,26 
160,T,231128,224736,48.133183N,17.138098E,158,78.0,42,983.1,26 
161,T,231128,224739,48.133633N,17.138683E,158,79.4,41,983.1,26 
162,T,231128,224742,48.134075N,17.139257E,158,80.0,41,982.9,26 
163,T,231128,224745,48.134533N,17.139860E,158,81.9,41,982.8,26 
164,T,231128,224748,48.135025N,17.140478E,158,86.8,40,982.8,26 
165,T,231128,224751,48.135525N,17.141136E,158,88.6,41,982.8,26 
166,T,231128,224754,48.136028N,17.141798E,158,88.9,41,982.8,26 
167,T,231128,224757,48.136517N,17.142456E,158,88.3,41,982.6,26 
168,T,231128,224800,48.137012N,17.143124E,158,88.8,41,982.8,26 
169,T,231128,224803,48.137508N,17.143782E,157,88.6,41,982.6,26 
170,T,231128,224806,48.138008N,17.144445E,157,89.2,40,983.0,26 
171,T,231128,224808,48.138351N,17.144899E,156,91.2,41,983.1,26 
172,T,231128,224810,48.138695N,17.145355E,155,92.9,41,983.1,26 
173,T,231128,224812,48.139050N,17.145824E,154,93.9,41,983.2,26 
174,T,231128,224814,48.139389N,17.146290E,153,93.4,41,983.2,26 
175,T,231128,224816,48.139732N,17.146753E,153,92.5,41,983.3,26 
176,T,231128,224818,48.140072N,17.147226E,152,93.2,43,983.5,26 
177,T,231128,224820,48.140404N,17.147726E,151,94.2,46,983.6,26 
178,T,231128,224822,48.140713N,17.148256E,151,94.7,50,983.8,26 
179,T,231128,224824,48.140995N,17.148842E,150,97.6,55,983.9,26 
180,T,231128,224826,48.141243N,17.149475E,150,98.9,60,984.0,26 
181,T,231128,224828,48.141453N,17.150154E,150,102.5,65,983.8,26 
182,T,231128,224830,48.141632N,17.150881E,149,106.6,71,984.0,27 
183,T,231128,224832,48.141777N,17.151653E,148,107.3,76,983.8,27 
184,T,231128,224834,48.141872N,17.152445E,148,109.0,82,983.9,27 
185,T,231128,224836,48.141914N,17.153269E,149,110.9,85,984.1,27 
186,T,231128,224838,48.141937N,17.154112E,149,111.2,87,984.2,27 
187,T,231128,224840,48.141953N,17.154943E,150,111.6,87,984.2,27 
188,T,231128,224842,48.141968N,17.155773E,150,111.5,87,984.4,27 
189,T,231128,224844,48.141968N,17.156590E,150,109.8,88,984.5,27 
190,T,231128,224846,48.141968N,17.157404E,148,109.9,88,984.6,27 
191,T,231128,224848,48.141979N,17.158216E,147,109.4,88,984.6,27 
192,T,231128,224850,48.141991N,17.159023E,146,109.5,88,984.7,27 
193,T,231128,224852,48.142010N,17.159836E,145,109.2,88,984.8,27 
194,T,231128,224854,48.142021N,17.160637E,145,106.4,88,984.9,27 
195,T,231128,224856,48.142033N,17.161436E,144,107.6,88,985.0,27 
196,T,231128,224858,48.142044N,17.162245E,143,107.5,88,985.1,27 
197,T,231128,224900,48.142056N,17.163050E,142,106.8,88,985.1,27 
198,T,231128,224902,48.142071N,17.163851E,142,104.9,87,985.2,27 
199,T,231128,224904,48.142090N,17.164621E,142,102.0,88,984.7,27 
200,T,231128,224906,48.142101N,17.165382E,141,99.9,88,985.1,27 
201,T,231128,224908,48.142113N,17.166130E,141,100.4,88,985.5,27 
202,T,231128,224910,48.142120N,17.166870E,141,99.0,88,985.4,27 
203,T,231128,224912,48.142139N,17.167604E,141,98.9,88,985.4,27 
204,T,231128,224914,48.142155N,17.168324E,141,96.5,88,985.5,27 
205,T,231128,224916,48.142166N,17.169048E,141,98.2,88,985.6,27 
206,T,231128,224918,48.142185N,17.169773E,141,97.3,87,985.7,27 
207,T,231128,224920,48.142204N,17.170492E,141,96.2,86,985.6,27 
208,T,231128,224922,48.142235N,17.171204E,140,94.5,84,985.8,27 
209,T,231128,224924,48.142288N,17.171896E,140,93.2,80,985.7,27 
210,T,231128,224926,48.142372N,17.172573E,139,92.5,78,985.8,27 
211,T,231128,224928,48.142479N,17.173254E,138,94.3,74,985.8,27 
212,T,231128,224930,48.142632N,17.173937E,138,96.3,69,985.8,27 
213,T,231128,224932,48.142830N,17.174610E,137,97.3,65,985.8,27 
214,T,231128,224934,48.143047N,17.175262E,137,97.6,61,985.9,27 
215,T,231128,224936,48.143299N,17.175901E,136,99.5,57,985.9,27 
216,T,231128,224938,48.143581N,17.176510E,135,98.7,54,985.9,27 
217,T,231128,224940,48.143883N,17.177092E,135,98.9,50,985.8,27 
218,T,231128,224942,48.144218N,17.177656E,134,98.9,47,985.9,27 
219,T,231128,224944,48.144569N,17.178183E,133,99.1,43,985.9,27 
220,T,231128,224946,48.144943N,17.178663E,133,98.4,39,985.8,27 
221,T,231128,224948,48.145351N,17.179113E,132,98.3,34,985.6,27 
222,T,231128,224950,48.145779N,17.179518E,132,98.4,31,985.6,27 
223,T,231128,224952,48.146221N,17.179865E,132,97.8,26,985.4,27 
224,T,231128,224954,48.146656N,17.180164E,133,95.3,23,985.2,27 
225,T,231128,224956,48.147087N,17.180403E,134,94.6,18,985.1,27 
226,T,231128,224958,48.147533N,17.180595E,136,93.1,14,985.0,27 
227,T,231128,225000,48.147987N,17.180756E,137,95.6,12,984.8,27 
228,T,231128,225002,48.148457N,17.180880E,138,95.2,8,984.9,27 
229,T,231128,225004,48.148930N,17.180964E,138,95.6,6,984.8,27 
230,T,231128,225006,48.149406N,17.181034E,138,96.8,6,984.8,27 
231,T,231128,225008,48.149891N,17.181095E,139,96.9,5,984.7,27 
232,T,231128,225010,48.150379N,17.181152E,139,97.9,5,984.7,27 
233,T,231128,225012,48.150867N,17.181206E,138,97.8,4,984.9,27 
234,T,231128,225014,48.151360N,17.181265E,138,99.4,5,984.8,27 
235,T,231128,225016,48.151855N,17.181328E,138,100.2,5,984.9,27 
236,T,231128,225018,48.152351N,17.181391E,138,99.7,4,984.8,27 
